Version	Since	Name	Type	Reference	Description
2.6.1	1.0.0	SpectralRange	Closed		Identifiers for names associated with wavelengths. Based on the ISO 21348 Solar Irradiance Standard. Additions have been made to extend the frequency ranges to include those used in space physics. Those additions are indicated in blue text. The "Total Solar Irradiance" category has not been included since it is a type of measurement and not a specific spectral range. See Appendix A: Comparison of Spectrum Domains for a comparison of the spectral ranges with other systems.
2.6.1	2.3.0	Style	Closed		Identifiers for the manner in which a response from a URL is presented.
2.6.1	1.0.0	Sun	Closed		Identifiers for regions of the star upon which our solar system is centered.
2.6.1	1.0.0	SupportQuantity	Closed		Identifiers for the information useful in understanding the context of an observation, typically observed or measured coincidentally with a physical observation.
2.6.1	2.6.0	Symmetry	Closed		Symmetry of the model domain.
2.6.1	1.3.4	Text	Closed		Identifiers for the encoding of sequences of characters.
2.6.1	2.2.5	Uranus	Closed		Identifiers for the regions surrounding the planet Uranus.
2.6.1	2.2.5	Venus	Closed		Identifiers for the regions surrounding the planet Venus.
2.6.1	1.1.0	WaveQuantity	Closed		Identifiers for the characterization of the physical properties of a wave.
2.6.1	1.3.4	Waves	Closed		Identifiers for experimental and natural wave phenomena.
2.6.1	1.3.4	WaveType	Closed		Identifiers for the carrier or phenomenum of wave information observed by the measurement.
2.6.1	2.6.0	YN	Closed		Yes or No
