Version	Since	Object	Element	Order	Occurrence	Group	Type
2.2.4	1.1.0	NumericalData	SpectralRange	11	*		
2.2.4	1.1.0	NumericalData	ObservedRegion	12	*		
2.2.4	1.1.0	NumericalData	Caveats	13	0		
2.2.4	1.1.0	NumericalData	Keyword	14	*		
2.2.4	1.1.0	NumericalData	InputResourceID	15	*		
2.2.4	1.1.0	NumericalData	Parameter	16	*		
2.2.4	1.3.0	NumericalData	Extension	17	*		
2.2.4	1.3.6	ObservationExtent	ObservedRegion	1	0		
2.2.4	1.3.6	ObservationExtent	StartLocation	2	1		
2.2.4	1.3.6	ObservationExtent	StopLocation	3	1		
2.2.4	1.3.6	ObservationExtent	Note	4	*		
2.2.4	1.1.0	Observatory	ResourceID	1	1		
2.2.4	1.1.0	Observatory	ResourceHeader	2	1		
2.2.4	2.2.0	Observatory	ObservatoryGroupID	3	*		
2.2.4	1.1.0	Observatory	Location	4	1		
2.2.4	2.2.0	Observatory	OperatingSpan	5	0		
2.2.4	1.3.0	Observatory	Extension	6	*		
2.2.4	2.2.0	OperatingSpan	StartDate	1	1		
2.2.4	2.2.0	OperatingSpan	StopDate	2	0		
2.2.4	2.2.0	OperatingSpan	Note	3	*		
2.2.4	1.1.0	Parameter	Name	1	1		
2.2.4	1.1.0	Parameter	Set	2	*		
2.2.4	1.1.0	Parameter	ParameterKey	3	0		
2.2.4	1.1.0	Parameter	Description	4	0		
2.2.4	1.1.0	Parameter	Caveats	5	0		
2.2.4	1.1.0	Parameter	Cadence	6	0		
2.2.4	1.1.0	Parameter	Units	7	0		
2.2.4	1.1.0	Parameter	UnitsConversion	8	0		
2.2.4	1.1.0	Parameter	CoordinateSystem	9	0		
2.2.4	1.1.0	Parameter	RenderingHints	10	*		
2.2.4	1.1.0	Parameter	Structure	11	0		
2.2.4	1.2.0	Parameter	ValidMin	12	0		
2.2.4	1.2.0	Parameter	ValidMax	13	0		
2.2.4	1.2.0	Parameter	FillValue	14	0		
2.2.4	1.1.0	Parameter	Field	15	1	ParameterEntity	
2.2.4	1.1.0	Parameter	Particle	16	1	ParameterEntity	
2.2.4	1.1.0	Parameter	Wave	17	1	ParameterEntity	
2.2.4	1.1.0	Parameter	Mixed	18	1	ParameterEntity	
2.2.4	1.1.0	Parameter	Support	19	1	ParameterEntity	
2.2.4	1.1.0	Particle	ParticleType	1	+		
2.2.4	1.3.1	Particle	Qualifier	2	*		
2.2.4	1.1.0	Particle	ParticleQuantity	3	1		
2.2.4	1.1.0	Particle	AtomicNumber	4	*		
2.2.4	1.1.0	Particle	EnergyRange	5	0		
2.2.4	1.1.0	Particle	AzimuthalAngleRange	6	0		
2.2.4	1.1.0	Particle	PolarAngleRange	7	0		
2.2.4	1.1.0	Person	ResourceID	1	1		
2.2.4	1.1.0	Person	ReleaseDate	2	0		
2.2.4	1.1.0	Person	PersonName	3	0		
2.2.4	1.1.0	Person	OrganizationName	4	1		
2.2.4	1.1.0	Person	Address	5	0		
2.2.4	1.1.0	Person	Email	6	*		
2.2.4	1.1.0	Person	PhoneNumber	7	*		
2.2.4	1.3.0	Person	FaxNumber	8	0		
2.2.4	2.0.3	Person	Note	9	0		
2.2.4	1.3.0	Person	Extension	10	*		
2.2.4	1.1.0	PolarAngleRange	Low	1	1		
2.2.4	1.1.0	PolarAngleRange	High	2	1		
2.2.4	1.1.0	PolarAngleRange	Units	3	1		
2.2.4	1.1.0	PolarAngleRange	Bin	4	*		
2.2.4	1.1.0	Registry	ResourceID	1	1		
2.2.4	1.1.0	Registry	ResourceHeader	2	1		
2.2.4	1.3.4	Registry	AccessURL	3	1		
2.2.4	1.3.0	Registry	Extension	4	*		
2.2.4	1.3.1	RenderingHints	DisplayType	1	0		
2.2.4	1.3.1	RenderingHints	AxisLabel	2	0		
2.2.4	1.3.1	RenderingHints	RenderingAxis	3	0		
2.2.4	1.3.1	RenderingHints	Index	4	0		
2.2.4	1.3.1	RenderingHints	ValueFormat	5	0		
2.2.4	1.3.1	RenderingHints	ScaleMin	6	0		
2.2.4	1.3.1	RenderingHints	ScaleMax	7	0		
2.2.4	1.3.1	RenderingHints	ScaleType	8	0		
2.2.4	1.1.0	Repository	ResourceID	1	1		
2.2.4	1.1.0	Repository	ResourceHeader	2	1		
2.2.4	1.3.4	Repository	AccessURL	3	1		
2.2.4	1.3.0	Repository	Extension	4	*		
2.2.4	1.1.0	ResourceHeader	ResourceName	1	1		
2.2.4	1.1.0	ResourceHeader	AlternateName	2	*		
2.2.4	1.1.0	ResourceHeader	ReleaseDate	3	1		
2.2.4	1.2.0	ResourceHeader	ExpirationDate	4	0		
2.2.4	1.1.0	ResourceHeader	Description	5	1		
2.2.4	1.1.0	ResourceHeader	Acknowledgement	6	0		
2.2.4	1.1.0	ResourceHeader	Contact	7	+		
2.2.4	1.1.0	ResourceHeader	InformationURL	8	*		
2.2.4	1.3.3	ResourceHeader	Association	9	*		
2.2.4	1.1.0	ResourceHeader	PriorID	10	*		
2.2.4	1.1.0	Service	ResourceID	1	1		
2.2.4	1.1.0	Service	ResourceHeader	2	1		
2.2.4	1.1.0	Service	AccessURL	3	1		
2.2.4	1.3.0	Service	Extension	4	*		
2.2.4	1.3.1	Source	SourceType	1	1		
2.2.4	1.3.1	Source	URL	2	1		
2.2.4	1.3.1	Source	MirrorURL	3	*		
2.2.4	1.3.1	Source	Checksum	4	0		
2.2.4	1.3.1	Source	DataExtent	5	0		
2.2.4	1.1.0	Spase	Version	1	1		
2.2.4	1.1.0	Spase	Catalog	2	+	ResourceEntity	
2.2.4	1.1.0	Spase	DisplayData	3	+	ResourceEntity	
2.2.4	1.1.0	Spase	NumericalData	4	+	ResourceEntity	
2.2.4	1.3.0	Spase	Document	5	+	ResourceEntity	
2.2.4	1.1.0	Spase	Granule	6	+	ResourceEntity	
2.2.4	1.1.0	Spase	Instrument	7	+	ResourceEntity	
2.2.4	1.1.0	Spase	Observatory	8	+	ResourceEntity	
2.2.4	1.1.0	Spase	Person	9	+	ResourceEntity	
2.2.4	1.1.0	Spase	Registry	10	+	ResourceEntity	
2.2.4	1.1.0	Spase	Repository	11	+	ResourceEntity	
2.2.4	1.1.0	Spase	Service	12	+	ResourceEntity	
2.2.4	1.1.0	Spase	Annotation	13	+	ResourceEntity	
2.2.4	1.2.0	Structure	Size	1	1		
2.2.4	1.2.0	Structure	Description	2	0		
2.2.4	1.2.0	Structure	Element	3	*		
2.2.4	1.3.1	Support	Qualifier	1	*		
2.2.4	1.3.0	Support	SupportQuantity	2	1		
2.2.4	1.1.0	TemporalDescription	TimeSpan	1	1		
2.2.4	1.1.0	TemporalDescription	Cadence	2	0		
2.2.4	1.1.0	TemporalDescription	Exposure	3	0		
2.2.4	1.1.0	TimeSpan	StartDate	1	1		
2.2.4	1.1.0	TimeSpan	StopDate	2	1	StopDateEntity	
2.2.4	1.1.0	TimeSpan	RelativeStopDate	3	1	StopDateEntity	
2.2.4	1.2.0	TimeSpan	Note	4	*		
2.2.4	1.3.5	Wave	WaveType	1	1		
2.2.4	1.3.5	Wave	Qualifier	2	*		
2.2.4	1.3.5	Wave	WaveQuantity	3	1		
2.2.4	1.3.5	Wave	EnergyRange	4	0		
2.2.4	1.3.5	Wave	FrequencyRange	5	0		
2.2.4	1.3.5	Wave	WavelengthRange	6	0		
2.2.4	1.3.0	WavelengthRange	SpectralRange	1	0		
2.2.4	1.3.0	WavelengthRange	Low	2	1		
2.2.4	1.3.0	WavelengthRange	High	3	1		
2.2.4	1.3.0	WavelengthRange	Units	4	1		
2.2.4	1.3.0	WavelengthRange	Bin	5	*		
