#Version	Since	Object	Element	Reference	Occurrence	Group	Type
2.3.1	1.1.0	Catalog	Caveats	10	0		
2.3.1	1.1.0	Catalog	Keyword	11	*		
2.3.1	1.1.0	Catalog	InputResourceID	12	*		
2.3.1	1.3.0	Catalog	Parameter	13	*		
2.3.1	1.3.0	Catalog	Extension	14	*		
2.3.1	1.2.0	Checksum	HashValue	01	1		
2.3.1	1.2.0	Checksum	HashFunction	02	1		
2.3.1	1.1.0	Contact	PersonID	01	1		
2.3.1	1.1.0	Contact	Role	02	+		
2.3.1	2.3.1	Contact	StartDate	03	0		
2.3.1	2.3.1	Contact	StopDate	04	0		
2.3.1	2.3.1	Contact	Note	05	0		
2.3.1	1.1.0	CoordinateSystem	CoordinateRepresentation	01	1		
2.3.1	1.1.0	CoordinateSystem	CoordinateSystemName	02	1		
2.3.1	1.3.0	DataExtent	Quantity	01	1		
2.3.1	1.2.0	DataExtent	Units	02	0		
2.3.1	1.2.0	DataExtent	Per	03	0		
2.3.1	1.1.0	DisplayData	ResourceID	01	1		
2.3.1	1.1.0	DisplayData	ResourceHeader	02	1		
2.3.1	1.1.0	DisplayData	AccessInformation	03	+		
2.3.1	1.1.0	DisplayData	ProcessingLevel	04	0		
2.3.1	2.2.9	DisplayData	ProviderName	05	0		
2.3.1	1.1.0	DisplayData	ProviderResourceName	06	0		
2.3.1	1.1.0	DisplayData	ProviderProcessingLevel	07	0		
2.3.1	1.1.0	DisplayData	ProviderVersion	08	0		
2.3.1	1.1.0	DisplayData	InstrumentID	09	*		
2.3.1	1.1.0	DisplayData	MeasurementType	10	+		
2.3.1	1.1.0	DisplayData	TemporalDescription	11	0		
2.3.1	1.1.0	DisplayData	SpectralRange	12	*		
2.3.1	1.1.0	DisplayData	DisplayCadence	13	0		
2.3.1	1.1.0	DisplayData	ObservedRegion	14	*		
2.3.1	1.1.0	DisplayData	Caveats	15	0		
2.3.1	1.1.0	DisplayData	Keyword	16	*		
2.3.1	1.1.0	DisplayData	InputResourceID	17	*		
2.3.1	1.3.0	DisplayData	Parameter	18	*		
2.3.1	1.3.0	DisplayData	Extension	19	*		
2.3.1	1.3.0	Document	ResourceID	01	1		
2.3.1	1.3.0	Document	ResourceHeader	02	1		
2.3.1	1.3.0	Document	AccessInformation	03	+		
2.3.1	1.3.0	Document	Keyword	04	*		
2.3.1	1.3.0	Document	DocumentType	05	1		
2.3.1	1.3.0	Document	MIMEType	06	1		
2.3.1	1.3.0	Document	InputResourceID	07	*		
2.3.1	1.2.0	Element	Name	01	1		
2.3.1	1.2.0	Element	Qualifier	02	*		
2.3.1	1.2.0	Element	Index	03	1		
2.3.1	1.2.0	Element	ParameterKey	04	0		
2.3.1	1.3.0	Element	Units	05	0		
2.3.1	1.3.0	Element	UnitsConversion	06	0		
2.3.1	1.3.0	Element	ValidMin	07	0		
2.3.1	1.3.0	Element	ValidMax	08	0		
2.3.1	1.3.0	Element	FillValue	09	0		
2.3.1	1.3.0	Element	RenderingHints	10	0		
2.3.1	1.1.0	EnergyRange	Low	01	1		
2.3.1	1.1.0	EnergyRange	High	02	1		
2.3.1	1.1.0	EnergyRange	Units	03	1		
2.3.1	1.1.0	EnergyRange	Bin	04	*		
2.3.1	1.3.1	Field	Qualifier	01	*		
2.3.1	1.1.0	Field	FieldQuantity	02	1		
2.3.1	1.1.0	Field	FrequencyRange	03	0		
2.3.1	2.3.0	Funding	Agency	01	1		
2.3.1	2.3.0	Funding	Project	02	1		
2.3.1	2.3.0	Funding	AwardNumber	03	0		
2.3.1	1.3.0	FrequencyRange	SpectralRange	01	0		
2.3.1	1.1.0	FrequencyRange	Low	02	1		
2.3.1	1.1.0	FrequencyRange	High	03	1		
2.3.1	1.1.0	FrequencyRange	Units	04	1		
2.3.1	1.1.0	FrequencyRange	Bin	05	*		
2.3.1	1.1.0	Granule	ResourceID	01	1		
2.3.1	1.1.0	Granule	ReleaseDate	02	1		
2.3.1	1.2.0	Granule	ExpirationDate	03	0		
2.3.1	1.1.0	Granule	ParentID	04	1		
2.3.1	1.1.0	Granule	PriorID	05	*		
2.3.1	1.1.0	Granule	StartDate	06	1		
2.3.1	1.1.0	Granule	StopDate	07	1		
2.3.1	1.3.1	Granule	Source	08	+		
2.3.1	1.1.0	InformationURL	Name	01	0		
2.3.1	1.1.0	InformationURL	URL	02	1		
2.3.1	1.1.0	InformationURL	Description	03	0		
2.3.1	1.3.4	InformationURL	Language	04	0		
2.3.1	1.1.0	Instrument	ResourceID	01	1		
2.3.1	1.1.0	Instrument	ResourceHeader	02	1		
2.3.1	1.1.0	Instrument	InstrumentType	03	+		
2.3.1	1.1.0	Instrument	InvestigationName	04	+		
2.3.1	2.2.0	Instrument	OperatingSpan	05	0		
2.3.1	1.1.0	Instrument	ObservatoryID	06	1		
2.3.1	1.1.0	Instrument	Caveats	07	0		
2.3.1	1.3.0	Instrument	Extension	08	*		
2.3.1	1.2.0	Location	ObservatoryRegion	01	+		
2.3.1	1.2.0	Location	CoordinateSystemName	02	0		
2.3.1	1.2.0	Location	Latitude	03	0		
2.3.1	1.2.0	Location	Longitude	04	0		
2.3.1	1.2.0	Location	Elevation	05	0		
2.3.1	2.2.9	MassRange	Low	01	1		
2.3.1	2.2.9	MassRange	High	02	1		
2.3.1	2.2.9	MassRange	Units	03	1		
2.3.1	2.2.9	MassRange	Bin	04	*		
2.3.1	1.3.5	Mixed	MixedQuantity	01	1		
2.3.1	1.3.6	Mixed	ParticleType	02	*		
2.3.1	1.3.5	Mixed	Qualifier	03	*		
2.3.1	1.1.0	NumericalData	ResourceID	01	1		
2.3.1	1.1.0	NumericalData	ResourceHeader	02	1		
2.3.1	1.1.0	NumericalData	AccessInformation	03	+		
2.3.1	1.1.0	NumericalData	ProcessingLevel	04	0		
2.3.1	2.2.9	NumericalData	ProviderName	05	0		
2.3.1	1.1.0	NumericalData	ProviderResourceName	06	0		
2.3.1	1.1.0	NumericalData	ProviderProcessingLevel	07	0		
2.3.1	1.1.0	NumericalData	ProviderVersion	08	0		
2.3.1	1.1.0	NumericalData	InstrumentID	09	*		
2.3.1	1.1.0	NumericalData	MeasurementType	10	+		
2.3.1	1.1.0	NumericalData	TemporalDescription	11	0		
2.3.1	1.1.0	NumericalData	SpectralRange	12	*		
2.3.1	1.1.0	NumericalData	ObservedRegion	13	*		
2.3.1	1.1.0	NumericalData	Caveats	14	0		
2.3.1	1.1.0	NumericalData	Keyword	15	*		
2.3.1	1.1.0	NumericalData	InputResourceID	16	*		
2.3.1	1.1.0	NumericalData	Parameter	17	*		
2.3.1	1.3.0	NumericalData	Extension	18	*		
2.3.1	1.3.6	ObservationExtent	ObservedRegion	01	0		
2.3.1	1.3.6	ObservationExtent	StartLocation	02	1		
2.3.1	1.3.6	ObservationExtent	StopLocation	03	1		
2.3.1	1.3.6	ObservationExtent	Note	04	*		
2.3.1	1.1.0	Observatory	ResourceID	01	1		
2.3.1	1.1.0	Observatory	ResourceHeader	02	1		
2.3.1	2.2.0	Observatory	ObservatoryGroupID	03	*		
2.3.1	1.1.0	Observatory	Location	04	1		
2.3.1	2.2.0	Observatory	OperatingSpan	05	+		
2.3.1	1.3.0	Observatory	Extension	06	*		
2.3.1	2.2.0	OperatingSpan	StartDate	01	1		
2.3.1	2.2.0	OperatingSpan	StopDate	02	0		
2.3.1	2.2.0	OperatingSpan	Note	03	*		
2.3.1	1.1.0	Parameter	Name	01	1		
2.3.1	1.1.0	Parameter	Set	02	*		
2.3.1	1.1.0	Parameter	ParameterKey	03	0		
2.3.1	1.1.0	Parameter	Description	04	0		
2.3.1	2.2.9	Parameter	UCD	05	0		
2.3.1	1.1.0	Parameter	Caveats	06	0		
2.3.1	1.1.0	Parameter	Cadence	07	0		
2.3.1	2.2.9	Parameter	CadenceMin	08	0		
2.3.1	2.2.9	Parameter	CadenceMax	09	0		
2.3.1	1.1.0	Parameter	Units	10	0		
2.3.1	1.1.0	Parameter	UnitsConversion	11	0		
2.3.1	1.1.0	Parameter	CoordinateSystem	12	0		
2.3.1	1.1.0	Parameter	RenderingHints	13	*		
2.3.1	1.1.0	Parameter	Structure	14	0		
2.3.1	1.2.0	Parameter	ValidMin	15	0		
2.3.1	1.2.0	Parameter	ValidMax	16	0		
2.3.1	1.2.0	Parameter	FillValue	17	0		
2.3.1	1.1.0	Parameter	Field	18	1	ParameterEntity	
2.3.1	1.1.0	Parameter	Particle	19	1	ParameterEntity	
2.3.1	1.1.0	Parameter	Wave	20	1	ParameterEntity	
2.3.1	1.1.0	Parameter	Mixed	21	1	ParameterEntity	
2.3.1	1.1.0	Parameter	Support	22	1	ParameterEntity	
2.3.1	1.1.0	Particle	ParticleType	01	*		
2.3.1	1.3.1	Particle	Qualifier	02	*		
2.3.1	1.1.0	Particle	ParticleQuantity	03	1		
2.3.1	1.1.0	Particle	AtomicNumber	04	*		
2.3.1	1.1.0	Particle	EnergyRange	05	0		
2.3.1	1.1.0	Particle	AzimuthalAngleRange	06	0		
2.3.1	1.1.0	Particle	PolarAngleRange	07	0		
2.3.1	2.2.9	Particle	MassRange	08	0		
2.3.1	2.2.9	Particle	PitchAngleRange	09	0		
2.3.1	1.1.0	Person	ResourceID	01	1		
2.3.1	1.1.0	Person	ReleaseDate	02	0		
2.3.1	1.1.0	Person	PersonName	03	0		
2.3.1	1.1.0	Person	OrganizationName	04	1		
2.3.1	1.1.0	Person	Address	05	0		
2.3.1	1.1.0	Person	Email	06	*		
2.3.1	1.1.0	Person	PhoneNumber	07	*		
2.3.1	1.3.0	Person	FaxNumber	08	0		
2.3.1	2.3.0	Person	ORCIdentifier	09	0		
2.3.1	2.0.3	Person	Note	10	0		
2.3.1	1.3.0	Person	Extension	11	*		
2.3.1	2.2.9	PitchAngleRange	Low	01	1		
2.3.1	2.2.9	PitchAngleRange	High	02	1		
2.3.1	2.2.9	PitchAngleRange	Units	03	1		
2.3.1	2.2.9	PitchAngleRange	Bin	04	*		
2.3.1	1.1.0	PolarAngleRange	Low	01	1		
2.3.1	1.1.0	PolarAngleRange	High	02	1		
2.3.1	1.1.0	PolarAngleRange	Units	03	1		
2.3.1	1.1.0	PolarAngleRange	Bin	04	*		
2.3.1	2.3.0	PublicationInfo	Authors	01	1		
2.3.1	2.3.0	PublicationInfo	PublicationDate	02	1		
2.3.1	2.3.0	PublicationInfo	PublishedBy	03	1		
2.3.1	1.1.0	Registry	ResourceID	01	1		
2.3.1	1.1.0	Registry	ResourceHeader	02	1		
2.3.1	1.3.4	Registry	AccessURL	03	1		
2.3.1	1.3.0	Registry	Extension	04	*		
2.3.1	1.3.1	RenderingHints	DisplayType	01	0		
2.3.1	1.3.1	RenderingHints	AxisLabel	02	0		
2.3.1	1.3.1	RenderingHints	RenderingAxis	03	0		
2.3.1	1.3.1	RenderingHints	Index	04	0		
2.3.1	1.3.1	RenderingHints	ValueFormat	05	0		
2.3.1	1.3.1	RenderingHints	ScaleMin	06	0		
2.3.1	1.3.1	RenderingHints	ScaleMax	07	0		
2.3.1	1.3.1	RenderingHints	ScaleType	08	0		
2.3.1	1.1.0	Repository	ResourceID	01	1		
2.3.1	1.1.0	Repository	ResourceHeader	02	1		
2.3.1	1.3.4	Repository	AccessURL	03	1		
2.3.1	1.3.0	Repository	Extension	04	*		
2.3.1	1.1.0	ResourceHeader	ResourceName	01	1		
2.3.1	1.1.0	ResourceHeader	AlternateName	02	*		
2.3.1	2.3.0	ResourceHeader	DOI	03	0		
2.3.1	1.1.0	ResourceHeader	ReleaseDate	04	1		
2.3.1	2.3.1	ResourceHeader	RevisionHistory	05	0		
2.3.1	1.2.0	ResourceHeader	ExpirationDate	06	0		
2.3.1	1.1.0	ResourceHeader	Description	07	1		
2.3.1	1.1.0	ResourceHeader	Acknowledgement	08	0		
2.3.1	1.1.0	ResourceHeader	PublicationInfo	09	0		
2.3.1	1.1.0	ResourceHeader	Funding	10	*		
2.3.1	1.1.0	ResourceHeader	Contact	11	+		
2.3.1	1.1.0	ResourceHeader	InformationURL	12	*		
2.3.1	1.3.3	ResourceHeader	Association	13	*		
2.3.1	1.1.0	ResourceHeader	PriorID	14	*		
2.3.1	2.3.1	RevisionEvent	ReleaseDate	01	1		
2.3.1	2.3.1	RevisionEvent	Note	02	1		
2.3.1	2.3.1	RevisionHistory	RevisionEvent	01	+		
2.3.1	1.1.0	Service	ResourceID	01	1		
2.3.1	1.1.0	Service	ResourceHeader	02	1		
2.3.1	1.1.0	Service	AccessURL	03	1		
2.3.1	1.3.0	Service	Extension	04	*		
2.3.1	1.3.1	Source	SourceType	01	1		
2.3.1	1.3.1	Source	URL	02	1		
2.3.1	1.3.1	Source	MirrorURL	03	*		
2.3.1	1.3.1	Source	Checksum	04	0		
2.3.1	1.3.1	Source	DataExtent	05	0		
2.3.1	1.1.0	Spase	Version	01	1		
2.3.1	1.1.0	Spase	Catalog	02	+	ResourceEntity	
2.3.1	1.1.0	Spase	DisplayData	03	+	ResourceEntity	
2.3.1	1.1.0	Spase	NumericalData	04	+	ResourceEntity	
2.3.1	1.3.0	Spase	Document	05	+	ResourceEntity	
2.3.1	1.1.0	Spase	Granule	06	+	ResourceEntity	
2.3.1	1.1.0	Spase	Instrument	07	+	ResourceEntity	
2.3.1	1.1.0	Spase	Observatory	08	+	ResourceEntity	
2.3.1	1.1.0	Spase	Person	09	+	ResourceEntity	
2.3.1	1.1.0	Spase	Registry	10	+	ResourceEntity	
2.3.1	1.1.0	Spase	Repository	11	+	ResourceEntity	
2.3.1	1.1.0	Spase	Service	12	+	ResourceEntity	
2.3.1	1.1.0	Spase	Annotation	13	+	ResourceEntity	
2.3.1	1.2.0	Structure	Size	01	1		
2.3.1	1.2.0	Structure	Description	02	0		
2.3.1	1.2.0	Structure	Element	03	*		
2.3.1	1.3.1	Support	Qualifier	01	*		
2.3.1	1.3.0	Support	SupportQuantity	02	1		
2.3.1	1.1.0	TemporalDescription	TimeSpan	01	1		
2.3.1	1.1.0	TemporalDescription	Cadence	02	0		
2.3.1	2.2.9	TemporalDescription	CadenceMin	03	0		
2.3.1	2.2.9	TemporalDescription	CadenceMax	04	0		
2.3.1	1.1.0	TemporalDescription	Exposure	05	0		
2.3.1	2.2.9	TemporalDescription	ExposureMin	06	0		
2.3.1	2.2.9	TemporalDescription	ExposureMax	07	0		
2.3.1	1.1.0	TimeSpan	StartDate	01	1		
2.3.1	1.1.0	TimeSpan	StopDate	02	1	StopDateEntity	
2.3.1	1.1.0	TimeSpan	RelativeStopDate	03	1	StopDateEntity	
2.3.1	1.2.0	TimeSpan	Note	04	*		
2.3.1	1.3.5	Wave	WaveType	01	0		
2.3.1	1.3.5	Wave	Qualifier	02	*		
2.3.1	1.3.5	Wave	WaveQuantity	03	1		
2.3.1	1.3.5	Wave	EnergyRange	04	0		
2.3.1	1.3.5	Wave	FrequencyRange	05	0		
2.3.1	1.3.5	Wave	WavelengthRange	06	0		
2.3.1	1.3.0	WavelengthRange	SpectralRange	01	0		
2.3.1	1.3.0	WavelengthRange	Low	02	1		
2.3.1	1.3.0	WavelengthRange	High	03	1		
2.3.1	1.3.0	WavelengthRange	Units	04	1		
2.3.1	1.3.0	WavelengthRange	Bin	05	*		
